REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
REGION1,1,BATTERY_STORAGE,57,ELCB02,2042,5.442506159950544
REGION1,1,BATTERY_STORAGE,57,ELCB02,2043,15.81406709446004
REGION1,1,BATTERY_STORAGE,57,ELCB02,2044,22.4664509250172
REGION1,1,BATTERY_STORAGE,57,ELCB02,2045,30.809135945278047
REGION1,1,BATTERY_STORAGE,57,ELCB02,2046,40.553888538351714
REGION1,1,BATTERY_STORAGE,57,ELCB02,2047,45.89013855217749
REGION1,1,BATTERY_STORAGE,57,ELCB02,2048,51.33807751978093
REGION1,1,BATTERY_STORAGE,57,ELCB02,2049,56.93493509242156
REGION1,1,BATTERY_STORAGE,57,ELCB02,2050,62.65589150259287
REGION1,1,CCS01,1,CO2CCS,2026,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2027,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2028,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2029,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2030,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2031,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2032,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2033,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2034,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2035,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2036,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2037,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2038,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2039,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2040,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2041,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2042,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2043,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2044,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2045,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2046,6.307199999999988
REGION1,1,CCS01,1,CO2CCS,2047,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2048,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2049,6.307200000000001
REGION1,1,CCS01,1,CO2CCS,2050,6.307200000000001
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2021,1.4178077124482606
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2022,0.6071784966819879
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2023,0.41838720124984285
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2024,0.5104679481787661
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2025,0.42229221855914817
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2026,0.9830977545410983
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2027,0.4753470619565528
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2028,0.8058071926518258
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2029,0.7114120790458548
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2030,0.6155446698591274
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2031,0.5208836349574536
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2032,0.48678347704734326
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2033,0.49341465821739944
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2034,0.49930067121069993
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2035,0.506325630056802
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2036,0.5266013437715815
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2037,0.5231026240360981
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2038,0.52891965412229
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2039,0.5348302313122838
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2040,0.5400690399989516
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2041,0.5563375908752516
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2042,0.5531395638117507
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2043,0.5612149684587019
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2044,0.5786736216076392
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2045,0.5738520078009284
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2046,0.5806749529400173
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2047,0.5867745810857035
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2048,0.5934256287140511
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2049,0.6002661577827321
REGION1,1,DEMAGRSURBC1,1,AGRWATBC1,2050,0.6071975512169806
REGION1,1,DEMCOMBIO,1,COMBIO,2021,0.7600004560002839
REGION1,1,DEMCOMBIO,1,COMBIO,2022,1.200000720000432
REGION1,1,DEMCOMBIO,1,COMBIO,2023,1.6300009780005906
REGION1,1,DEMCOMBIO,1,COMBIO,2024,2.4100014460008645
REGION1,1,DEMCOMBIO,1,COMBIO,2025,3.6100021660013
REGION1,1,DEMCOMBIO,1,COMBIO,2026,4.810002886001668
REGION1,1,DEMCOMBIO,1,COMBIO,2027,6.868689526283575
REGION1,1,DEMCOMBIO,1,COMBIO,2028,7.850004710002827
REGION1,1,DEMCOMBIO,1,COMBIO,2029,9.760005856003517
REGION1,1,DEMCOMBIO,1,COMBIO,2030,12.572828866007391
REGION1,1,DEMCOMBIO,1,COMBIO,2032,14.887824559154268
REGION1,1,DEMCOMBIO,1,COMBIO,2043,5.224779822286975
REGION1,1,DEMCOMBIO,1,COMBIO,2044,9.965531596285683
REGION1,1,DEMCOMBIO,1,COMBIO,2045,3.1484090600842647
REGION1,1,DEMCOMBIO,1,COMBIO,2046,11.180006708004028
REGION1,1,DEMCOMBIO,1,COMBIO,2047,11.230006738004043
REGION1,1,DEMCOMBIO,1,COMBIO,2048,11.30000678000407
REGION1,1,DEMCOMBIO,1,COMBIO,2049,11.360006816004088
REGION1,1,DEMCOMBIO,1,COMBIO,2050,11.450006870004128
REGION1,1,DEMCOMELCB02,1,COMELCB02,2021,65.8096135425999
REGION1,1,DEMCOMELCB02,1,COMELCB02,2022,70.79838681133933
REGION1,1,DEMCOMELCB02,1,COMELCB02,2023,73.7643490283262
REGION1,1,DEMCOMELCB02,1,COMELCB02,2024,75.92366880136265
REGION1,1,DEMCOMELCB02,1,COMELCB02,2025,78.00852927188062
REGION1,1,DEMCOMELCB02,1,COMELCB02,2026,80.26712811494177
REGION1,1,DEMCOMELCB02,1,COMELCB02,2027,82.61259614427446
REGION1,1,DEMCOMELCB02,1,COMELCB02,2028,84.4988984747431
REGION1,1,DEMCOMELCB02,1,COMELCB02,2029,86.09977347889085
REGION1,1,DEMCOMELCB02,1,COMELCB02,2030,87.6013694130139
REGION1,1,DEMCOMELCB02,1,COMELCB02,2031,89.2146543009147
REGION1,1,DEMCOMELCB02,1,COMELCB02,2032,90.9148083750871
REGION1,1,DEMCOMELCB02,1,COMELCB02,2033,92.44122407671632
REGION1,1,DEMCOMELCB02,1,COMELCB02,2034,94.0048694296048
REGION1,1,DEMCOMELCB02,1,COMELCB02,2035,95.58092466624637
REGION1,1,DEMCOMELCB02,1,COMELCB02,2036,97.2562589729126
REGION1,1,DEMCOMELCB02,1,COMELCB02,2037,98.90677351207265
REGION1,1,DEMCOMELCB02,1,COMELCB02,2038,100.47041886496112
REGION1,1,DEMCOMELCB02,1,COMELCB02,2039,101.99683456659037
REGION1,1,DEMCOMELCB02,1,COMELCB02,2040,103.33710201192332
REGION1,1,DEMCOMELCB02,1,COMELCB02,2041,104.66495957350322
REGION1,1,DEMCOMELCB02,1,COMELCB02,2042,105.93076771631767
REGION1,1,DEMCOMELCB02,1,COMELCB02,2043,107.18416597537907
REGION1,1,DEMCOMELCB02,1,COMELCB02,2044,108.38792469942815
REGION1,1,DEMCOMELCB02,1,COMELCB02,2045,109.66614272599573
REGION1,1,DEMCOMELCB02,1,COMELCB02,2046,111.06845959009412
REGION1,1,DEMCOMELCB02,1,COMELCB02,2047,112.55764564046407
REGION1,1,DEMCOMELCB02,1,COMELCB02,2048,114.20816017962416
REGION1,1,DEMCOMELCB02,1,COMELCB02,2049,115.90831425379656
REGION1,1,DEMCOMELCB02,1,COMELCB02,2050,117.75738693300596
REGION1,1,DEMCOMNGS,1,COMNGS,2021,74.1000444600267
REGION1,1,DEMCOMNGS,1,COMNGS,2022,78.15004689002812
REGION1,1,DEMCOMNGS,1,COMNGS,2023,79.59004775402865
REGION1,1,DEMCOMNGS,1,COMNGS,2024,77.680046608028
REGION1,1,DEMCOMNGS,1,COMNGS,2025,76.3400458040275
REGION1,1,DEMCOMNGS,1,COMNGS,2026,75.2800451680271
REGION1,1,DEMCOMNGS,1,COMNGS,2027,73.11004386602633
REGION1,1,DEMCOMNGS,1,COMNGS,2028,70.58004234802542
REGION1,1,DEMCOMNGS,1,COMNGS,2029,68.2500409500246
REGION1,1,DEMCOMNGS,1,COMNGS,2030,66.01003960602377
REGION1,1,DEMCOMNGS,1,COMNGS,2031,65.2300391380235
REGION1,1,DEMCOMNGS,1,COMNGS,2032,64.45003867002322
REGION1,1,DEMCOMNGS,1,COMNGS,2033,64.17003850202312
REGION1,1,DEMCOMNGS,1,COMNGS,2034,63.99003839402303
REGION1,1,DEMCOMNGS,1,COMNGS,2035,63.80003828002297
REGION1,1,DEMCOMNGS,1,COMNGS,2036,63.580038148022886
REGION1,1,DEMCOMNGS,1,COMNGS,2037,63.320037992022804
REGION1,1,DEMCOMNGS,1,COMNGS,2038,63.13003787802274
REGION1,1,DEMCOMNGS,1,COMNGS,2039,63.05003783002271
REGION1,1,DEMCOMNGS,1,COMNGS,2040,62.94003776402266
REGION1,1,DEMCOMNGS,1,COMNGS,2041,62.87003772202263
REGION1,1,DEMCOMNGS,1,COMNGS,2042,62.83003769802262
REGION1,1,DEMCOMNGS,1,COMNGS,2043,62.87003772202263
