REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMAGRGWTBC1,1,2021,0.38960330965888845
REGION1,DEMAGRGWTBC1,1,2022,0.37639740755955
REGION1,DEMAGRGWTBC1,1,2023,0.4227651621785036
REGION1,DEMAGRGWTBC1,1,2025,0.424185714674768
REGION1,DEMAGRGWTBC1,1,2026,0.43658361556584735
REGION1,DEMAGRGWTBC1,1,2027,0.45377565545776255
REGION1,DEMAGRGWTBC1,1,2028,0.47025271968998605
REGION1,DEMAGRGWTBC1,1,2029,0.48613835267602806
REGION1,DEMAGRGWTBC1,1,2030,0.5321626946918535
REGION1,DEMAGRGWTBC1,1,2031,0.49718471107367623
REGION1,DEMAGRGWTBC1,1,2032,0.4866968603278512
REGION1,DEMAGRGWTBC1,1,2033,0.49338903358148023
REGION1,DEMAGRGWTBC1,1,2034,0.4993170017322496
REGION1,DEMAGRGWTBC1,1,2035,0.5063253262614239
REGION1,DEMAGRGWTBC1,1,2036,0.5237997166904338
REGION1,DEMAGRGWTBC1,1,2037,0.5313221752874173
REGION1,DEMAGRGWTBC1,1,2039,0.5425207080057861
REGION1,DEMAGRGWTBC1,1,2040,0.547594628238358
REGION1,DEMAGRGWTBC1,1,2042,0.5531392319280143
REGION1,DEMAGRGWTBC1,1,2043,0.5612146317297307
REGION1,DEMAGRGWTBC1,1,2044,0.5672157179748202
REGION1,DEMAGRGWTBC1,1,2045,0.5738516634897105
REGION1,DEMAGRGWTBC1,1,2047,0.5867742290209395
REGION1,DEMAGRGWTBC1,1,2048,0.5934101745358638
REGION1,DEMAGRGWTBC1,1,2049,0.6002657976230608
REGION1,DEMAGRGWTBC1,1,2050,0.6071971868984946
REGION1,DEMAGRSURBC1,1,2024,0.4413258473829979
REGION1,DEMAGRSURBC1,1,2038,0.539165267656051
REGION1,DEMAGRSURBC1,1,2041,0.5471752162376913
REGION1,DEMAGRSURBC1,1,2046,0.5806595064122171
REGION1,DEMCOMBIO,1,2021,0.7600000000000033
REGION1,DEMCOMBIO,1,2022,1.1999999999999995
REGION1,DEMCOMBIO,1,2023,1.6300000000000006
REGION1,DEMCOMBIO,1,2024,2.409999999999988
REGION1,DEMCOMBIO,1,2025,3.61
REGION1,DEMCOMBIO,1,2026,4.8100000000000005
REGION1,DEMCOMBIO,1,2027,6.369999999999999
REGION1,DEMCOMBIO,1,2028,7.85
REGION1,DEMCOMBIO,1,2029,9.76
REGION1,DEMCOMBIO,1,2030,11.660000000000007
REGION1,DEMCOMBIO,1,2031,11.519999999999998
REGION1,DEMCOMBIO,1,2032,11.380000000000004
REGION1,DEMCOMBIO,1,2033,11.329999999999991
REGION1,DEMCOMBIO,1,2034,11.300000000000004
REGION1,DEMCOMBIO,1,2035,11.26
REGION1,DEMCOMBIO,1,2036,11.230000000000004
REGION1,DEMCOMBIO,1,2037,11.180000000000003
REGION1,DEMCOMBIO,1,2038,11.149999999999975
REGION1,DEMCOMBIO,1,2039,11.13
REGION1,DEMCOMBIO,1,2040,11.11
REGION1,DEMCOMBIO,1,2041,11.1
REGION1,DEMCOMBIO,1,2042,11.090000000000003
REGION1,DEMCOMBIO,1,2043,11.100000000000003
REGION1,DEMCOMBIO,1,2044,11.119999999999996
REGION1,DEMCOMBIO,1,2045,11.140000000000002
REGION1,DEMCOMBIO,1,2046,11.179999999999996
REGION1,DEMCOMBIO,1,2047,11.229999999999915
REGION1,DEMCOMBIO,1,2048,11.300000000000018
REGION1,DEMCOMBIO,1,2049,11.359999999999998
REGION1,DEMCOMBIO,1,2050,11.450000000000005
REGION1,DEMCOMELCB02,1,2021,53.029989394
REGION1,DEMCOMELCB02,1,2022,57.049988590000005
REGION1,DEMCOMELCB02,1,2023,59.439988112
REGION1,DEMCOMELCB02,1,2024,61.179987764
REGION1,DEMCOMELCB02,1,2025,62.85998742799999
REGION1,DEMCOMELCB02,1,2026,64.679987064
REGION1,DEMCOMELCB02,1,2027,66.56998668599998
REGION1,DEMCOMELCB02,1,2028,68.08998638199999
REGION1,DEMCOMELCB02,1,2029,69.379986124
REGION1,DEMCOMELCB02,1,2030,70.58998588199998
REGION1,DEMCOMELCB02,1,2031,71.88998562199998
REGION1,DEMCOMELCB02,1,2032,73.25998534800001
REGION1,DEMCOMELCB02,1,2033,74.48998510199998
REGION1,DEMCOMELCB02,1,2034,75.74998484999999
REGION1,DEMCOMELCB02,1,2035,77.01998459600001
REGION1,DEMCOMELCB02,1,2036,78.369984326
REGION1,DEMCOMELCB02,1,2037,79.69998406000002
REGION1,DEMCOMELCB02,1,2038,80.95998380799999
REGION1,DEMCOMELCB02,1,2039,82.189983562
REGION1,DEMCOMELCB02,1,2040,83.269983346
REGION1,DEMCOMELCB02,1,2041,84.339983132
REGION1,DEMCOMELCB02,1,2042,85.359982928
REGION1,DEMCOMELCB02,1,2043,86.369982726
REGION1,DEMCOMELCB02,1,2044,87.339982532
REGION1,DEMCOMELCB02,1,2045,88.36998232600001
REGION1,DEMCOMELCB02,1,2046,89.49998209999997
REGION1,DEMCOMELCB02,1,2047,90.69998185999998
REGION1,DEMCOMELCB02,1,2048,92.02998159400002
REGION1,DEMCOMELCB02,1,2049,93.39998132000001
REGION1,DEMCOMELCB02,1,2050,94.889981022
REGION1,DEMCOMRPP,1,2021,6.289999999999999
REGION1,DEMCOMRPP,1,2022,6.409999999999998
REGION1,DEMCOMRPP,1,2023,6.489999999999999
REGION1,DEMCOMRPP,1,2024,6.560000000000001
REGION1,DEMCOMRPP,1,2025,6.6199999999999966
REGION1,DEMCOMRPP,1,2026,6.699999999999999
REGION1,DEMCOMRPP,1,2027,6.81
